time	type	subtype	content
146.531	event	timer	timer_event
146.537	print	task	0.01300454
146.588	state		release
146.690	event	timer	timer_event
146.742	state		release
146.844	event	timer	timer_event
146.896	state		release
146.998	event	timer	timer_event
147.050	state		release
147.152	event	timer	timer_event
147.158	print	task	0.07040429
147.209	state		release
147.311	event	timer	timer_event
147.363	state		release
147.465	event	timer	timer_event
147.517	state		release
147.619	event	timer	timer_event
147.671	state		release
147.773	event	timer	timer_event
147.779	print	task	0.08370781
147.830	state		release
147.932	event	timer	timer_event
147.984	state		release
148.086	event	timer	timer_event
148.141	state		release
148.243	event	timer	timer_event
148.295	state		release
148.397	event	timer	timer_event
148.404	print	task	0.1248143
148.454	state		release
148.556	event	timer	timer_event
148.608	state		release
148.710	event	timer	timer_event
148.762	state		release
148.864	event	timer	timer_event
148.916	state		release
149.018	event	timer	timer_event
149.024	print	task	0.1297472
149.075	state		release
149.177	event	timer	timer_event
149.229	state		release
149.331	event	timer	timer_event
149.383	state		release
149.485	event	timer	timer_event
149.537	state		release
149.639	event	timer	timer_event
149.645	print	task	0.1665187
149.696	state		release
149.798	event	timer	timer_event
149.850	state		release
149.952	event	timer	timer_event
150.004	state		release
150.106	event	timer	timer_event
150.158	state		release
150.260	event	timer	timer_event
150.266	print	task	0.2014592
150.367	state		post_release
150.374	variable	print	{"poke": "C3", "release_duration": 100, "n_release": 28, "release_weight": 0.219135}
150.474	state		calibration_init
150.474	print	task	Ready to calibrate release duration: 150, press go.
180.937	event	user	go
180.937	state		pre_release
181.042	state		release
181.192	event	timer	timer_event
181.242	state		release
181.392	event	timer	timer_event
181.442	state		release
181.592	event	timer	timer_event
181.642	state		release
181.792	event	timer	timer_event
181.796	print	task	0.1476471
181.846	state		release
181.996	event	timer	timer_event
182.046	state		release
182.196	event	timer	timer_event
182.246	state		release
182.396	event	timer	timer_event
182.446	state		release
182.596	event	timer	timer_event
182.600	print	task	0.2946212
182.700	state		post_release
182.705	variable	print	{"poke": "A1", "release_duration": 150, "n_release": 8, "release_weight": 0.2559063}
182.805	state		pre_release
182.912	state		release
183.064	event	timer	timer_event
183.116	state		release
183.268	event	timer	timer_event
183.320	state		release
183.472	event	timer	timer_event
183.524	state		release
183.676	event	timer	timer_event
183.682	print	task	0.1972547
183.733	state		release
183.885	event	timer	timer_event
183.937	state		release
184.089	event	timer	timer_event
184.141	state		release
184.293	event	timer	timer_event
184.345	state		release
184.497	event	timer	timer_event
184.503	print	task	0.375134
184.604	state		post_release
184.611	variable	print	{"poke": "A2", "release_duration": 150, "n_release": 8, "release_weight": 0.2876515}
184.711	state		pre_release
184.818	state		release
184.970	event	timer	timer_event
185.022	state		release
185.174	event	timer	timer_event
185.226	state		release
185.378	event	timer	timer_event
